Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Data Scientist,2Coms,New Delhi,2 - 7 years,DataModeling\nEnterpriseApplications\nAnalyticalConsultingMachineLearning,838,B.Tech,Freelance,1000000-2000000,1000000,2000000,2
Machine Learning Engineer,2Coms,Mumbai,0-5 Yrs,Python\nComputerVision\nMachineLearning\nR\nBusinessAnalysis,4000,UG,Full Time,1800000-3300000,1800000,3300000,0
Data Scientist,2Coms Consulting Pvt Ltd.,"Chennai, Bengaluru",6-11 Yrs,Machine Learning Code DataScience R Data Model NLPAlgorithms Coding,10000,Phd,Full Time,160000-185000,160000,185000,6
Machine Learning Engineer,2Coms Consulting Pvt Ltd.,"Chennai, Pune, Mumbai",3-8 Yrs,DataScience\nR\nNLP\nAlgorithms\nArtificialIntelligence\nImageProcessing\nNaturalLanguageProcessing\nMachineLearning,10000,PG/Phd,Full Time,1200000-2100000,1200000,2100000,3
Data Scientist,3D India Staffing Research & Consulting Co India,Bengaluru,8-13 Yrs,Team Handling\nSegmentation\nOperations Research\nData Mining\nMachine Learning\nStatistics\nAnalytics\nClementine,200,Phd,Full Time,5000000-1700000,5000000,1700000,8
Data Scientist,3D India Staffing Research & Consulting Pvt Ltd,"Gurgaon, Gurugram",3-5 Yrs,R\nLending\nSAS\nData Scientist\nHadoop\nSpark\nIIM\nAnalytics,200,PG,Full Time,1300000-1700000,1300000,1700000,3
Data Scientist,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-5 Yrs,Quantitative Analysis\nProduct Management\nLending\nIIM\nStatistical Analysis\nMachine Learning\nCredit Risk Analysis\nAnalytics,200,PG,Full Time,1500000-1900000,1500000,1900000,3
Data Scientist,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-6 Yrs,R\nLending\nSAS\nHadoop\nSpark\nIIM\nquantitative analysis\nMachine Learning,200,PG,Full Time,1400000-1900000,1400000,1900000,3
Data Scientist,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-9 Yrs,Data Science\nJava\nR\nArtificial Intelligence\nData Scientist\nSCALA\nData Mining\nData Visualization,200,PG/Phd,Full Time,500000-800000,500000,800000,5
Data Scientist,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,5-8 Yrs,Java\nBusiness Intelligence\nR\nETL Tools\nSCALA\nData Mining\nPerl\nMachine Learning,200,PG/Phd,Full Time,700000-1300000,700000,1300000,5
